ARK	200	214	214$c	700	300$a
ark:/12148/cb469848836	 $a My best enemy $b Texte imprimé $f Ella Lores	 $a Paris $c Luv $d DL 2022¤ $a impr. en République tchèque	Luv	 $3 17840417 $o ISNI0000000478669978 $a Lores $b Ella $f 1967-.... $4 070	
ark:/12148/cb469624538	 $a Le passeport $b Texte imprimé $f Julia Galaski	 $a Ronchin $c Éditions les Étaques $d DL 2021¤ $a 14-Condé-en-Normandie $c Corlet impr.	Éditions les Étaques¤Corlet impr.	 $3 17998791 $a Galaski $b Julia $f 1986-.... $4 070	
ark:/12148/cb46965903t	 $a Reflets obscurs $b Texte imprimé $f Celine Delhaye	 $a La Jarne $c Black ink éditions $d DL 2021¤ $a 79-Mauzé-sur-le-Mignon $c Mauzé impr.	Black ink éditions¤Mauzé impr.	 $3 17715688 $a Delhaye $b Céline $4 070	
ark:/12148/cb46970353q	 $a 404 $b Texte imprimé $e roman $f Sabri Louatah	 $a [Paris] $c Flammarion $d DL 2020	Flammarion	 $3 16572014 $o ISNI0000000367512185 $a Louatah $b Sabri $f 1983-.... $4 070	
ark:/12148/cb46955513t	 $a Ennemi de Dieu $b Texte imprimé $e roman $f Sorour Kasmaï	 $a Paris $c Robert Laffont $d DL 2020	Robert Laffont	 $3 13611083 $o ISNI0000000035649011 $a Kasmaï $b Sorour $f 1962-.... $4 070	
ark:/12148/cb470076134	 $a Mardi soir, 19h $b Texte imprimé $e roman $f Gilles Legardinier	 $a [Paris] $c Flammarion $d DL 2021	Flammarion	 $3 12543082 $o ISNI0000000382362883 $a Legardinier $b Gilles $f 1965-.... $4 070	
ark:/12148/cb469700845	 $a Trois plumes $b Texte imprimé $f Christophe Levantal	 $a Paris $c Revel éditions $d 2022¤ $a 89-Collemiers $c Impr. Barré	Revel éditions¤Impr. Barré	 $3 12094652 $o ISNI000000005168233X $a Levantal $b Christophe $f 1953-.... $4 070	
ark:/12148/cb46941224g	 $a Fucking wedding $b Texte imprimé $f Mélodie Chavin	 $a Paris $c Addictives $d DL 2021¤ $a impr. en République tchèque	Addictives	 $3 17901279 $o ISNI0000000504477401 $a Chavin $b Mélodie $f 1992-.... $4 070	
ark:/12148/cb46961834v	 $a Meurtre aux sports d'hiver $b Texte imprimé $f Daniel Borgis	 $a [Chaumont] $c Éditions Douro¤ $d C 2021¤ $a 78-Maurepas $c Impr. Lightning source France	Éditions Douro¤Impr. Lightning source France	 $3 16042508 $a Borgis $b Daniel $f 1940-.... $4 070	
ark:/12148/cb469952443	 $a Mes belles histoires du soir $b Texte imprimé	 $a Paris $c Fleurus $d DL 2021¤ $a impr. en Chine	Fleurus		 $a Livre cartonné
ark:/12148/cb469395946	 $a Messagerie hors ligne $b Texte imprimé $f Catherine Roques	 $a [Paris] $c Éditions Maïa $d DL 2018	Éditions Maïa	 $3 18032226 $o ISNI0000000508161666 $a Roques $b Catherine $f 1981?-.... $4 070	
ark:/12148/cb46976394r	 $a À coeur ouvert $b Texte imprimé $e carnet de méditation de Amma à sainte Thérèse $f anonyme	 $a Saint-Chéron $c Éditions Unicité¤ $d C 2021¤ $a 64-Orthez $c Impr. ICN	Éditions Unicité¤Impr. ICN		
ark:/12148/cb46997834x	 $a Nice-ville $b Texte imprimé $f Patrick Besson	 $a [Paris] $c Flammarion $d DL 2021	Flammarion	 $3 11987839 $o ISNI0000000114800429 $a Besson $b Patrick $f 1956-.... $4 070	
ark:/12148/cb47003074q	 $a S'aimer, malgré tout $b Texte imprimé $e roman $f Nicole Bordeleau	 $a [Paris] $c Flammarion $d DL 2021	Flammarion	 $3 16934533 $o ISNI0000000132186071 $a Bordeleau $b Nicole $4 070	
ark:/12148/cb47002204v	 $a Le prix du paradis $b Texte imprimé $e roman $f Benoit Cohen	 $a [Paris] $c Flammarion $d DL 2021	Flammarion	 $3 14565540 $o ISNI0000000003517786 $a Cohen $b Benoit $f 1969-.... $4 070	
ark:/12148/cb46990875t	 $a Infinis graffiti $b Texte imprimé $f Claude Londner	 $a Paris $c Éditions Complicités $d DL 2022¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 13341547 $o ISNI0000000439764534 $a Londner $b Claude $4 070	
ark:/12148/cb46975145r	 $a Le camion $b Texte imprimé $f Alexandre Clément	 $a [Lille] $c LBS noir $d DL 2022¤ $a impr. en Pologne	LBS noir	 $3 15537023 $a Clément $b Alexandre $f 1956-.... $4 070	
ark:/12148/cb46980235q	 $a Fiasco $b Texte imprimé $f Combor	 $a La Bauche $c Éditions À plus d'un titre $d DL 2021¤ $a 30-Nîmes $c Printteam	Éditions À plus d'un titre¤Printteam	 $3 16653754 $a Combor $f 1968-.... $4 070	
